Date_time|Bet|Win|Winning_text|Cards_played|Potential_win|Potential_winning_text|Ten_cards
09/03/2021, 16:56:24|2|4|Two pair|['clubs_ace', 'hearts_ace', 'hearts_3', 'spades_9', 'diamonds_9']|4|Two pair|['clubs_ace', 'hearts_ace', 'clubs_3', 'spades_9', 'diamonds_9', 'hearts_3', 'diamonds_5', 'spades_queen', 'diamonds_6', 'spades_5']
09/03/2021, 16:56:51|5|5|Pair Jack's|['spades_2', 'hearts_jack', 'spades_jack', 'hearts_9', 'spades_5']|20|Straight|['diamonds_2', 'hearts_jack', 'spades_jack', 'hearts_queen', 'diamonds_4', 'spades_2', 'hearts_9', 'spades_5', 'diamonds_6', 'clubs_6']
09/03/2021, 16:57:11|3|6|Two pair|['hearts_5', 'spades_3', 'diamonds_queen', 'diamonds_3', 'diamonds_5']|6|Two pair|['hearts_5', 'clubs_ace', 'clubs_king', 'spades_4', 'diamonds_5', 'spades_3', 'diamonds_queen', 'diamonds_3', 'hearts_king', 'diamonds_6']
09/03/2021, 16:57:27|4|0||['hearts_ace', 'spades_queen', 'diamonds_7', 'diamonds_jack', 'spades_king']|0||['clubs_6', 'spades_queen', 'diamonds_9', 'clubs_8', 'clubs_4', 'hearts_ace', 'diamonds_7', 'diamonds_jack', 'spades_king', 'diamonds_3']
09/03/2021, 16:57:52|2|0||['spades_3', 'clubs_4', 'hearts_5', 'diamonds_2', 'spades_2']|4|Two pair|['spades_3', 'clubs_4', 'hearts_5', 'clubs_ace', 'spades_2', 'diamonds_2', 'hearts_8', 'clubs_queen', 'hearts_7', 'diamonds_7']
09/03/2021, 16:58:24|1|0||['diamonds_8', 'spades_ace', 'clubs_king', 'diamonds_9', 'clubs_queen']|4|Straight|['spades_7', 'hearts_8', 'hearts_10', 'clubs_5', 'clubs_queen', 'diamonds_8', 'spades_ace', 'clubs_king', 'diamonds_9', 'spades_9']
09/03/2021, 16:58:44|2|0||['diamonds_ace', 'clubs_10', 'diamonds_5', 'diamonds_king', 'clubs_2']|0||['diamonds_ace', 'spades_2', 'clubs_6', 'diamonds_king', 'spades_7', 'clubs_10', 'diamonds_5', 'clubs_2', 'clubs_jack', 'spades_queen']
09/03/2021, 16:59:06|5|5|Pair Jack's|['diamonds_jack', 'spades_6', 'clubs_jack', 'clubs_8', 'clubs_ace']|10|Two pair|['diamonds_2', 'spades_10', 'clubs_jack', 'spades_5', 'clubs_ace', 'diamonds_jack', 'spades_6', 'clubs_8', 'hearts_8', 'spades_3']
09/03/2021, 16:59:39|5|0||['clubs_10', 'diamonds_2', 'clubs_2', 'hearts_king', 'clubs_ace']|10|Two pair|['spades_7', 'diamonds_2', 'clubs_2', 'clubs_9', 'spades_king', 'clubs_10', 'hearts_king', 'clubs_ace', 'diamonds_3', 'hearts_6']
09/03/2021, 16:59:59|5|5|Pair Ace's|['diamonds_ace', 'clubs_king', 'spades_3', 'hearts_jack', 'hearts_ace']|30|Flush|['diamonds_ace', 'clubs_6', 'hearts_queen', 'hearts_2', 'hearts_ace', 'clubs_king', 'spades_3', 'hearts_jack', 'hearts_4', 'diamonds_2']
09/03/2021, 17:00:15|5|10|Two pair|['diamonds_8', 'spades_8', 'clubs_queen', 'hearts_queen', 'spades_king']|10|Two pair|['diamonds_8', 'spades_8', 'hearts_9', 'hearts_10', 'diamonds_4', 'clubs_queen', 'hearts_queen', 'spades_king', 'spades_9', 'hearts_5']
09/03/2021, 17:00:29|5|0||['clubs_5', 'clubs_8', 'clubs_4', 'clubs_10', 'diamonds_4']|10|Two pair|['spades_3', 'clubs_queen', 'clubs_4', 'diamonds_6', 'diamonds_4', 'clubs_5', 'clubs_8', 'clubs_10', 'clubs_3', 'spades_queen']
09/03/2021, 17:02:02|5|0||['spades_2', 'diamonds_3', 'spades_jack', 'hearts_ace', 'diamonds_king']|45|Full house|['spades_7', 'spades_8', 'spades_3', 'hearts_ace', 'clubs_2', 'spades_2', 'diamonds_3', 'spades_jack', 'diamonds_king', 'clubs_3']
09/03/2021, 17:02:09|5|0||['clubs_6', 'spades_5', 'spades_6', 'clubs_ace', 'hearts_2']|30|Flush|['diamonds_2', 'clubs_9', 'clubs_4', 'clubs_ace', 'hearts_4', 'clubs_6', 'spades_5', 'spades_6', 'hearts_2', 'clubs_queen']
09/03/2021, 17:02:29|5|0||['hearts_7', 'hearts_6', 'clubs_7', 'spades_10', 'clubs_queen']|30|Flush|['hearts_7', 'hearts_8', 'clubs_7', 'hearts_queen', 'clubs_6', 'hearts_6', 'spades_10', 'clubs_queen', 'diamonds_king', 'hearts_5']
09/03/2021, 17:02:37|5|0||['spades_4', 'diamonds_6', 'clubs_4', 'spades_ace', 'spades_2']|30|Flush|['spades_4', 'diamonds_2', 'clubs_4', 'diamonds_9', 'diamonds_queen', 'diamonds_6', 'spades_ace', 'spades_2', 'diamonds_king', 'spades_9']
09/03/2021, 17:02:44|5|5|Pair Jack's|['hearts_6', 'hearts_jack', 'hearts_8', 'spades_jack', 'diamonds_3']|30|Flush|['spades_king', 'hearts_jack', 'hearts_3', 'spades_jack', 'clubs_2', 'hearts_6', 'hearts_8', 'diamonds_3', 'clubs_6', 'hearts_2']
09/03/2021, 17:02:55|5|0||['spades_9', 'clubs_6', 'hearts_4', 'spades_queen', 'diamonds_4']|10|Two pair|['hearts_ace', 'diamonds_3', 'hearts_4', 'diamonds_jack', 'diamonds_4', 'spades_9', 'clubs_6', 'spades_queen', 'clubs_8', 'diamonds_6']
09/03/2021, 17:03:08|5|0||['clubs_2', 'clubs_7', 'clubs_king', 'hearts_4', 'clubs_9']|5|Pair King's|['clubs_2', 'clubs_7', 'clubs_king', 'spades_queen', 'clubs_9', 'hearts_4', 'diamonds_8', 'clubs_jack', 'clubs_5', 'hearts_king']
09/03/2021, 17:03:15|5|5|Pair King's|['clubs_king', 'diamonds_king', 'hearts_ace', 'spades_10', 'hearts_2']|20|Straight|['diamonds_7', 'diamonds_king', 'hearts_ace', 'spades_4', 'diamonds_2', 'clubs_king', 'spades_10', 'hearts_2', 'hearts_6', 'diamonds_5']
09/03/2021, 17:03:24|5|10|Two pair|['spades_4', 'hearts_7', 'diamonds_6', 'hearts_6', 'clubs_4']|10|Two pair|['spades_4', 'diamonds_jack', 'diamonds_6', 'hearts_6', 'clubs_4', 'hearts_7', 'spades_9', 'diamonds_king', 'clubs_5', 'spades_5']
09/03/2021, 17:03:32|5|15|Three of a kind|['hearts_9', 'hearts_3', 'spades_3', 'diamonds_3', 'diamonds_ace']|15|Three of a kind|['clubs_8', 'hearts_3', 'hearts_7', 'diamonds_3', 'diamonds_5', 'hearts_9', 'spades_3', 'diamonds_ace', 'hearts_king', 'diamonds_4']
09/03/2021, 17:03:40|5|15|Three of a kind|['clubs_6', 'spades_9', 'spades_7', 'diamonds_6', 'spades_6']|45|Full house|['clubs_6', 'spades_10', 'hearts_9', 'diamonds_2', 'spades_6', 'spades_9', 'spades_7', 'diamonds_6', 'spades_3', 'clubs_jack']
09/03/2021, 17:03:52|5|5|Pair Ace's|['clubs_ace', 'clubs_3', 'hearts_ace', 'hearts_king', 'hearts_jack']|10|Two pair|['clubs_ace', 'clubs_10', 'spades_4', 'hearts_king', 'hearts_jack', 'clubs_3', 'hearts_ace', 'hearts_8', 'spades_10', 'clubs_4']
09/03/2021, 17:04:01|5|0||['hearts_king', 'clubs_6', 'diamonds_4', 'spades_3', 'diamonds_queen']|10|Two pair|['hearts_king', 'hearts_7', 'spades_5', 'spades_4', 'diamonds_queen', 'clubs_6', 'diamonds_4', 'spades_3', 'spades_8', 'hearts_5']
09/03/2021, 17:04:09|5|0||['hearts_king', 'diamonds_7', 'clubs_ace', 'hearts_10', 'clubs_jack']|10|Two pair|['hearts_king', 'clubs_9', 'clubs_ace', 'hearts_8', 'clubs_jack', 'diamonds_7', 'hearts_10', 'clubs_king', 'diamonds_ace', 'diamonds_9']
09/03/2021, 17:04:17|5|0||['spades_10', 'hearts_ace', 'diamonds_5', 'clubs_7', 'spades_6']|20|Straight|['spades_4', 'hearts_ace', 'hearts_2', 'hearts_6', 'clubs_9', 'spades_10', 'diamonds_5', 'clubs_7', 'spades_6', 'clubs_6']
09/03/2021, 17:04:28|5|0||['diamonds_9', 'hearts_3', 'spades_10', 'hearts_7', 'clubs_9']|45|Full house|['diamonds_9', 'diamonds_jack', 'clubs_8', 'spades_7', 'clubs_9', 'hearts_3', 'spades_10', 'hearts_7', 'hearts_8', 'hearts_9']
09/03/2021, 17:04:37|5|15|Three of a kind|['spades_jack', 'clubs_jack', 'hearts_10', 'clubs_6', 'hearts_jack']|125|Four of a kind|['spades_jack', 'clubs_jack', 'spades_king', 'clubs_3', 'hearts_jack', 'hearts_10', 'clubs_6', 'diamonds_jack', 'hearts_ace', 'clubs_ace']
09/03/2021, 17:04:47|5|0||['spades_6', 'clubs_2', 'hearts_queen', 'diamonds_6', 'clubs_10']|10|Two pair|['spades_6', 'spades_10', 'diamonds_4', 'diamonds_6', 'diamonds_7', 'clubs_2', 'hearts_queen', 'clubs_10', 'hearts_9', 'diamonds_8']
09/03/2021, 17:04:55|5|5|Pair King's|['hearts_7', 'diamonds_king', 'hearts_6', 'diamonds_jack', 'spades_king']|30|Flush|['diamonds_9', 'diamonds_king', 'diamonds_6', 'hearts_queen', 'spades_king', 'hearts_7', 'hearts_6', 'diamonds_jack', 'hearts_3', 'diamonds_ace']
09/03/2021, 17:05:05|5|5|Pair Jack's|['spades_3', 'diamonds_ace', 'hearts_jack', 'diamonds_10', 'diamonds_jack']|45|Full house|['clubs_8', 'hearts_6', 'spades_queen', 'diamonds_10', 'diamonds_jack', 'spades_3', 'diamonds_ace', 'hearts_jack', 'clubs_jack', 'clubs_ace']
09/03/2021, 17:05:15|5|5|Pair King's|['spades_king', 'spades_3', 'clubs_4', 'hearts_king', 'hearts_jack']|45|Full house|['spades_king', 'diamonds_9', 'diamonds_3', 'hearts_king', 'hearts_7', 'spades_3', 'clubs_4', 'hearts_jack', 'hearts_3', 'spades_10']
09/03/2021, 17:05:23|5|0||['clubs_king', 'diamonds_7', 'hearts_9', 'hearts_jack', 'clubs_ace']|0||['clubs_king', 'clubs_2', 'diamonds_10', 'clubs_5', 'clubs_ace', 'diamonds_7', 'hearts_9', 'hearts_jack', 'hearts_8', 'hearts_7']
09/03/2021, 17:05:36|5|10|Two pair|['spades_2', 'clubs_2', 'spades_8', 'clubs_8', 'clubs_9']|45|Full house|['diamonds_3', 'spades_5', 'spades_8', 'clubs_8', 'clubs_7', 'spades_2', 'clubs_2', 'clubs_9', 'diamonds_2', 'clubs_6']
09/03/2021, 17:05:44|5|10|Two pair|['spades_9', 'clubs_king', 'diamonds_8', 'hearts_8', 'hearts_king']|10|Two pair|['hearts_ace', 'clubs_king', 'diamonds_8', 'hearts_8', 'hearts_king', 'spades_9', 'spades_5', 'diamonds_queen', 'diamonds_jack', 'diamonds_2']
09/03/2021, 17:05:53|5|5|Pair Jack's|['spades_jack', 'hearts_king', 'clubs_10', 'spades_3', 'clubs_jack']|10|Two pair|['clubs_3', 'hearts_king', 'clubs_5', 'spades_8', 'diamonds_10', 'spades_jack', 'clubs_10', 'spades_3', 'clubs_jack', 'spades_5']
09/03/2021, 17:06:01|5|0||['diamonds_king', 'spades_5', 'spades_3', 'clubs_2', 'clubs_3']|45|Full house|['spades_2', 'clubs_queen', 'spades_3', 'clubs_king', 'clubs_3', 'diamonds_king', 'spades_5', 'clubs_2', 'hearts_9', 'hearts_king']
09/03/2021, 17:06:12|5|0||['diamonds_8', 'diamonds_ace', 'hearts_5', 'clubs_10', 'diamonds_4']|10|Two pair|['hearts_10', 'spades_4', 'hearts_6', 'hearts_8', 'diamonds_5', 'diamonds_8', 'diamonds_ace', 'hearts_5', 'clubs_10', 'diamonds_4']
